ImageId,Label
1,4
2,1
3,0
4,1
5,6
6,9
7,1
8,4
9,0
10,1
11,3
12,2
13,4
14,3
15,6
16,1
17,4
18,6
19,2
20,9
21,7
22,6
23,8
24,3
25,3
26,3
27,1
28,4
29,7
30,5
31,5
32,1
33,7
34,9
35,9
36,1
37,5
38,9
39,7
40,8
41,8
42,2
43,2
44,9
45,7
46,6
47,8
48,1
49,8
50,7
51,6
52,9
53,7
54,5
55,6
56,3
57,1
58,8
59,7
60,9
61,7
62,9
63,3
64,1
65,2
66,1
67,7
68,1
69,1
70,8
71,2
72,9
73,2
74,5
75,9
76,0
77,0
78,6
79,9
80,8
81,4
82,9
83,3
84,5
85,8
86,8
87,9
88,7
89,7
90,1
91,5
92,9
93,2
94,9
95,2
96,6
97,6
98,2
99,8
100,0
101,8
102,1
103,0
104,0
105,2
106,3
107,1
108,1
109,7
110,3
111,5
112,9
113,3
114,9
115,7
116,1
117,5
118,2
119,9
120,8
121,6
122,5
123,6
124,8
125,1
126,3
127,4
128,5
129,0
130,7
131,8
132,9
133,0
134,5
135,7
136,2
137,9
138,0
139,4
140,8
141,5
142,0
143,9
144,7
145,7
146,3
147,9
148,3
149,5
150,1
151,7
152,9
153,3
154,9
155,5
156,3
157,7
158,3
159,3
160,8
161,0
162,2
163,1
164,8
165,4
166,4
167,3
168,3
169,5
170,4
171,8
172,4
173,3
174,7
175,9
176,1
177,1
178,0
179,2
180,0
181,4
182,5
183,6
184,7
185,8
186,4
187,4
188,6
189,4
190,2
191,5
192,9
193,0
194,4
195,2
196,5
197,8
198,6
199,9
200,1
201,1
202,3
203,1
204,0
205,0
206,9
207,0
208,4
209,2
210,9
211,7
212,4
213,6
214,5
215,8
216,2
217,1
218,2
219,5
220,0
221,6
222,6
223,5
224,6
225,8
226,8
227,4
228,6
229,2
230,9
231,2
232,5
233,5
234,9
235,6
236,7
237,3
238,2
239,1
240,6
241,9
242,8
243,9
244,1
245,7
246,6
247,8
248,9
249,5
250,5
251,2
252,6
253,7
254,2
255,9
256,4
257,6
258,2
259,3
260,6
261,7
262,5
263,9
264,4
265,1
266,2
267,4
268,5
269,7
270,4
271,7
272,0
273,0
274,0
275,0
276,9
277,0
278,3
279,1
280,2
281,0
282,8
283,6
284,4
285,4
286,8
287,6
288,2
289,4
290,3
291,8
292,6
293,7
294,9
295,0
296,1
297,1
298,8
299,2
300,1
301,1
302,7
303,9
304,7
305,6
306,7
307,8
308,6
309,8
310,6
311,9
312,0
313,2
314,9
315,9
316,2
317,5
318,6
319,2
320,7
321,1
322,2
323,4
324,2
325,7
326,9
327,0
328,5
329,3
330,6
331,1
332,9
333,1
334,6
335,9
336,3
337,1
338,3
339,9
340,6
341,6
342,2
343,1
344,5
345,4
346,9
347,4
348,2
349,7
350,5
351,2
352,2
353,0
354,0
355,7
356,1
357,8
358,7
359,8
360,9
361,0
362,6
363,4
364,8
365,7
366,6
367,5
368,0
369,5
370,6
371,9
372,8
373,7
374,1
375,1
376,2
377,4
378,1
379,3
380,3
381,3
382,2
383,7
384,1
385,3
386,0
387,7
388,2
389,2
390,8
391,8
392,1
393,2
394,4
395,3
396,3
397,9
398,9
399,0
400,4
401,5
402,3
403,9
404,3
405,9
406,9
407,9
408,2
409,0
410,6
411,2
412,4
413,9
414,6
415,7
416,2
417,0
418,3
419,0
420,7
421,5
422,9
423,0
424,0
425,6
426,7
427,5
428,2
429,5
430,0
431,1
432,2
433,1
434,7
435,8
436,2
437,4
438,4
439,9
440,3
441,2
442,4
443,9
444,0
445,2
446,9
447,0
448,4
449,1
450,3
451,9
452,8
453,5
454,1
455,7
456,5
457,0
458,3
459,1
460,6
461,6
462,8
463,1
464,7
465,8
466,3
467,7
468,7
469,2
470,8
471,8
472,6
473,9
474,0
475,9
476,4
477,1
478,0
479,2
480,9
481,7
482,1
483,6
484,9
485,0
486,3
487,6
488,9
489,0
490,8
491,1
492,8
493,7
494,5
495,6
496,2
497,0
498,8
499,4
500,9
501,5
502,9
503,3
504,3
505,0
506,9
507,7
508,4
509,3
510,5
511,9
512,6
513,9
514,1
515,4
516,5
517,7
518,0
519,2
520,1
521,1
522,2
523,3
524,9
525,3
526,7
527,6
528,4
529,7
530,8
531,5
532,2
533,4
534,6
535,7
536,2
537,0
538,0
539,7
540,4
541,6
542,1
543,0
544,8
545,9
546,1
547,1
548,3
549,8
550,3
551,1
552,8
553,9
554,6
555,4
556,2
557,9
558,2
559,9
